"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"692","7/10/51",38.29944,126.9644,9000
"693","7/10/51",38.16334,126.91112,9000
"694","7/10/51",38.30023,127.01012,9500
"695","7/10/51",39.43032,127.24556,12000
"696","7/10/51",38.23956,127.86873,17000
"697","7/10/51",38.28882,126.87323,18000
"698","7/10/51",40.03549,128.20296,135000
"701","7/11/51",38.75942,127.60737,1000
"702","7/11/51",38.75942,127.60737,7000
"713","7/12/51",38.73373,125.41599,2000
"714","7/12/51",38.4031,125.70264,6000
"715","7/12/51",38.32801,127.70719,500
"716","7/12/51",38.33714,127.71847,500
"717","7/12/51",38.35453,127.66094,500
"718","7/12/51",38.3634,127.64933,500
"719","7/12/51",38.19977,126.93292,1000
"720","7/12/51",38.31269,127.98198,1000
"721","7/12/51",38.34002,128.01592,1000
"722","7/12/51",38.34347,126.90596,1000
"723","7/12/51",38.19957,126.92151,1000
"724","7/12/51",38.32723,127.63856,1000
"725","7/12/51",38.34538,127.64967,1000
"726","7/12/51",38.41977,127.86593,1000
"728","7/12/51",38.35775,127.98135,2000
"729","7/12/51",38.20837,126.90984,2000
"730","7/12/51",38.26764,127.98261,2000
"732","7/12/51",38.32801,127.70719,4500
"733","7/12/51",38.33714,127.71847,4500
"734","7/12/51",38.35453,127.66094,4500
"735","7/12/51",38.3634,127.64933,4500
"736","7/12/51",38.19977,126.93292,9000
"737","7/12/51",38.31269,127.98198,9000
"738","7/12/51",38.34002,128.01592,9000
"739","7/12/51",38.34347,126.90596,9000
"740","7/12/51",38.19957,126.92151,9000
"741","7/12/51",38.29925,126.95297,9000
"742","7/12/51",38.32723,127.63856,9000
"743","7/12/51",38.34538,127.64967,9000
"744","7/12/51",38.41977,127.86593,9000
"746","7/12/51",38.35775,127.98135,18000
"747","7/12/51",38.20837,126.90984,18000
"748","7/12/51",38.24952,127.97143,18000
"749","7/12/51",38.26764,127.98261,18000
"751","7/13/51",38.50051,125.77507,2000
"752","7/13/51",38.37992,126.46992,6000
"753","7/13/51",38.19056,126.92176,500
"754","7/13/51",38.22598,126.88649,500
"755","7/13/51",38.47071,127.57856,500
"756","7/13/51",38.25258,126.86286,1000
"757","7/13/51",38.29552,128.08514,1000
"758","7/13/51",38.3494,128.06157,1000
"760","7/13/51",38.73827,125.62321,1500
"761","7/13/51",39.43032,127.24556,1500
"762","7/13/51",38.30359,126.70127,2000
"763","7/13/51",38.19056,126.92176,4500
"764","7/13/51",38.22598,126.88649,4500
"765","7/13/51",38.47071,127.57856,4500
"767","7/13/51",38.29552,128.08514,6500
"768","7/13/51",38.3494,128.06157,6500
"769","7/13/51",38.25258,126.86286,9000
"770","7/13/51",39.41542,125.93877,10500
"771","7/13/51",39.31465,125.63301,13000
"772","7/13/51",38.73827,125.62321,17500
"773","7/13/51",38.30359,126.70127,18000
"774","7/13/51",39.41542,125.93877,96000
"775","7/13/51",39.31465,125.63301,116000
